#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
26,"Sultans Of Swing","Dire Straits",83,148,"classic rock","Rock","Dire Straits",1978-10-07,05:48,73,79,6,4,93,0,30,-10,F,4,2025-11-16,37Tmv4NnfQeb0ZgUC4fOJj,"EMI",7B,GBF089601041
27,"Yours","Vera Lynn",9,107,"adult standards","Easy Listening","Vera Lynn Remembers - The Songs That Won World War 2",1994-05-31,03:18,30,33,87,0,27,0,30,-10,G#/A♭,4,2025-11-16,6VhStpJfJJZCFjrwBWBvYY,"Parlophone UK",4B,GBAYE6600177
28,"Walk Of Life","Dire Straits",56,172,"classic rock","Rock","The Best Of Dire Straits & Mark Knopfler - Private Investigations",2005-01-01,04:08,44,96,36,0,77,10,10,-4,E,4,2025-11-16,2DmZ7aPhT5jkqLIYxTpQlJ,"EMI",12B,GBF088500675
29,"Ain't That A Kick In The Head","Dean Martin",57,108,"christmas, adult standards, big band, swing music","Easy Listening, Jazz, Pop","Dean Martin: The Capitol Recordings, Vol. 11 (1960-1961)",1961-00-00,02:27,59,25,60,0,72,0,30,-12,F#/G♭ minor,1,2025-11-16,7fQ3PYTYdu208fQ3JEm2U7,"CAPITOL CATALOG MKT (C92)",11A,USCA26000076
30,"(I Got Spurs That) Jingle, Jangle, Jingle","Kay Kyser & His Orchestra",52,92,"big band","Jazz","Best Of The Big Bands",1990-06-19,03:20,70,23,98,0,88,0,0,-13,F,4,2025-11-16,45YtTdmH2PNKEnxN3uTZQy,"Columbia",7B,USSM10027485
31,"My Heart Beats Like A Drum (Dam Dam Dam) - Radio Edit","A Touch Of Class, Le Koma, A. Buggle",56,132,"europop, eurodance","Electronic, Pop","Planet Pop",2000-11-06,03:42,68,90,1,0,94,0,10,-6,B minor,4,2025-11-16,0hRFDhaHRJt6cz69n78G3f,"Sony Music Catalog",10A,DEP810000025
32,"We'll Meet Again","Vera Lynn",34,104,"adult standards","Easy Listening","National Treasure - The Ultimate Collection",2014-01-01,03:27,38,5,94,0,12,0,0,-17,D,4,2025-11-16,7uFUyx7KnrbipYE2QuSBhZ,"Decca (UMO)",10B,GBBBA3960141
33,"Crawl out Through the Fallout","Sheldon Allman",48,74,"","","Folk Songs for the 21st Century",1960-12-13,02:25,67,41,88,0,78,0,10,-6,C♯/D♭,3,2025-11-16,2d3e3Vi4AeB52khjI4TyyJ,"HiFi Records",3B,QM4TX1783874
34,"The End of the World","Skeeter Davis",65,94,"","","The Essential Skeeter Davis",1994-05-23,02:37,23,22,94,0,43,0,20,-11,A#/B♭,3,2025-11-16,5DTOOkooKFUvWj1XQTFa09,"RCA Records Label Nashville",6B,USRC19901069
35,"Down Under","Men At Work",79,107,"","","Business As Usual",1981-11-09,03:42,74,46,13,2,89,0,0,-14,B minor,4,2025-11-16,3ZZq9396zv8pcn5GYVhxUi,"Columbia",10A,USSM18100411
36,"Waiting for a Star to Fall","Boy Meets Girl",61,116,"","","Reel Life (Expanded Edition)",1988-06-01,04:30,66,84,14,0,59,0,10,-6,D#/E♭,4,2025-11-16,09huOVRryZNV2deKFZLJDC,"RCA/Legacy",5B,USRC18805633
37,"Big Iron","Marty Robbins",71,116,"classic country, outlaw country","Country","Gunfighter Ballads And Trail Songs",1959-00-00,03:55,73,47,80,0,57,0,20,-8,C♯/D♭ minor,4,2025-11-16,0AQquaENerGps8BQmbPw14,"Columbia/Legacy",12A,USSM15901193
